時間戳記	你的DC使用者名稱(ex:nerolirain)	請寫下不限字數的賜福給其他橙果們(ex:GNLS、我是愚人)
2024/3/23 下午 10:08:51	C	我跟你說
2024/3/23 下午 10:09:01	C	我去洗澡
2024/3/23 下午 10:09:13	C	我有洗澡
2024/3/23 下午 10:09:22	C	等等臭躺
2024/3/23 下午 10:09:33	C	好小好小
2024/3/23 下午 10:09:54	C	只是敷衍
2024/3/23 下午 10:10:06	C	騙人的吧
2024/3/23 下午 10:10:16	C	三十公分
2024/3/23 下午 10:10:42	C	你才沐猿
2024/3/23 下午 10:10:59	C	赤沐鋼纏
2024/3/23 下午 10:11:11	C	好想瑟瑟
2024/3/23 下午 10:11:20	C	都我老婆
2024/3/23 下午 10:11:28	C	阿火好帥
2024/3/23 下午 10:11:36	C	很沒誠意
2024/3/23 下午 10:12:38	C	沐沐餓了
2024/3/23 下午 10:15:29	shiro	超絕強化
2024/3/23 下午 10:16:08	shiro	鋼蛋摸形
2024/3/23 下午 10:16:19	kiedveian	哈哈
2024/3/23 下午 10:17:08	C	趴在地上
2024/3/23 下午 10:17:24	C	一晚三萬
2024/3/23 下午 10:17:25	shiro	麻沿麻雨
2024/3/23 下午 10:17:36	C	一碗兩百
2024/3/23 下午 10:17:53	C	只剩內褲
2024/3/23 下午 10:18:24	C	敷衍了事
2024/3/23 下午 10:19:03	C	不想洗澡
2024/3/23 下午 10:19:18	C	專業畫手
2024/3/23 下午 10:19:30	C	瑟瑟繪師
2024/3/23 下午 10:19:41	C	通靈畫師
2024/3/23 下午 10:19:59	C	用臉盆洗澡
2024/3/23 下午 10:20:13	C	捉I了嗎
2024/3/23 下午 10:20:35	C	沒開台就是在偷捉ｉ
2024/3/23 下午 10:20:48	C	熱帶雨林
2024/3/23 下午 10:21:05	C	內褲濕了
2024/3/23 下午 10:21:22	C	哈哈我跟他們說
2024/3/23 下午 10:22:29	C	我買姊夫給你R
2024/3/23 下午 10:23:00	C	給予救贖
2024/3/23 下午 10:23:14	C	給予舊叔
2024/3/23 下午 10:23:20	C	給予大麻
2024/3/23 下午 10:23:37	C	只有你才會臭躺
2024/3/23 下午 10:24:10	C	｡ﾟヽ(ﾟ´Д`)ﾉﾟ｡
2024/3/23 下午 10:25:32	C	蹲在桌子底下HIGH的
2024/3/23 下午 10:25:49	C	兄弟你的屁股
2024/3/23 下午 10:26:02	C	喜歡蘿莉的
2024/3/23 下午 10:26:14	C	拜託兄弟
2024/3/23 下午 10:26:52	C	兄弟我可以
2024/3/23 下午 10:27:08	C	打斷鼻樑
2024/3/23 下午 10:27:42	C	叫大聲點
2024/3/23 下午 10:27:54	C	我的很大
2024/3/23 下午 10:28:10	C	幫我撐10秒
2024/3/23 下午 10:28:17	C	拜託不要
2024/3/23 下午 10:29:32	C	窮到只能吃番茄醬
2024/3/23 下午 10:30:08	C	胸部破西瓜
2024/3/23 下午 10:30:29	C	全都是我婆
2024/3/23 下午 10:30:40	C	你是我公
2024/3/23 下午 10:40:20	aaiiss.	鼻涼肩挺
2024/3/24 上午 1:00:44	yunla	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈密哈
2024/3/24 上午 7:48:35	Saya_100	花之王國雨沐森林橙花精靈指定尋鼻特派使者麻果山火哥洞橘頭勇者
2024/3/24 上午 8:20:18	SNBI	霹靂卡霹靂拉拉波波力那貝貝魯多
2024/3/24 上午 9:37:08	howbongbong	上小船
2024/3/24 上午 9:37:38	howbongbong	最愛唇印
2024/3/24 上午 9:38:12	howbongbong	賺錢養少年
2024/3/24 上午 9:38:26	howbongbong	大俠梅花鹿
2024/3/24 上午 9:38:41	howbongbong	搖手搖杯
2024/3/24 上午 9:39:13	howbongbong	我又卡住
2024/3/24 上午 9:39:56	howbongbong	我愛尖下巴
2024/3/24 下午 7:22:12	sazhiyun	招賓買麻
2024/3/25 下午 12:19:28	marthawang	我是甲甲
2024/3/25 下午 12:22:10	marthawang 	溢汁胖達
2024/3/25 下午 12:49:41	aaiiss.	溢汁胖達
2024/3/25 下午 6:17:36	ayatsuki.	愚泥香芋
2024/3/26 下午 6:58:06	C	真空波動拳
2024/3/26 下午 6:58:17	C	魔王炎擊破
2024/3/26 下午 6:58:32	C	真神煉獄剎
2024/3/26 下午 6:59:02	C	鼻樑氣功
2024/3/26 下午 8:28:19	C	等過年我在買姊夫給你
2024/3/26 下午 8:28:30	C	我是處男
2024/3/26 下午 8:28:39	C	你是處男
2024/3/26 下午 8:29:01	C	我會讓你明天爬不起來！
2024/3/26 下午 8:29:24	C	對不起我錯了
2024/3/29 下午 5:59:22	C	目標一百！
2024/3/29 下午 5:59:39	C	希望不要在愚人節中樂透
2024/3/29 下午 6:00:08	C	拜託除了愚人節那天之外不要跟我說懷孕了
2024/3/29 下午 6:00:52	C	我10抽雙蛋黃你呢？
2024/3/29 下午 6:01:06	C	哈哈！聽說你大寶底
2024/3/29 下午 6:01:51	C	走路撿到錢
2024/3/29 下午 6:02:04	C	我跟你說哦~
2024/3/29 下午 6:03:03	C	哈哈！我是橙花精靈哦！
2024/3/29 下午 6:03:20	C	你才大麻，你全家都大麻
2024/3/29 下午 6:03:46	C	您想嘗嘗我的女拳主義嗎^^
2024/3/29 下午 6:04:57	C	溫柔善良可愛活潑動人美如沐沿
2024/3/29 下午 6:06:06	C	邪惡混沌淫蕩妖邪惡如大麻
2024/3/29 下午 6:06:27	C	我機票一萬張
2024/3/29 下午 6:14:30	C	我昨天買了很多台積電
